Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Grade,Length,Route Crag,Route State
2023-03-26,Cholla,5.8,No Notes,https://www.mountainproject.com/route/121863071/cholla,1,Nevada > Southern Nevada > Red Rocks > 03-First Pullout (Calico I) > Cactus Massacre,2.4,-1,Lead,Onsight,Sport,Not Assigned,75.0,Cactus Massacre,Nevada
2023-03-26,Cactus Pete,5.10a,No Notes,https://www.mountainproject.com/route/116697801/cactus-pete,1,Nevada > Southern Nevada > Red Rocks > 03-First Pullout (Calico I) > Cactus Massacre,2.8,-1,TR,Not Led,Sport,Not Assigned,70.0,Cactus Massacre,Nevada
2023-03-25,The Griswolds,5.10b,No Notes,https://www.mountainproject.com/route/121883568/the-griswolds,1,Nevada > Southern Nevada > Blue Diamond Area > Blue Diamond Cave,2.6,-1,TR,Not Led,Sport,Not Assigned,60.0,Blue Diamond Cave,Nevada
2022-12-25,Machine Gun Jumblies,5.10a,No Notes,https://www.mountainproject.com/route/106815881/machine-gun-jumblies,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Upper Gorge > Gotham City,3.1,-1,TR,Not Led,Sport,Not Assigned,115.0,Gotham City,California
2022-12-25,Double Flipper,5.9,No Notes,https://www.mountainproject.com/route/106446245/double-flipper,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Upper Gorge > Gotham City,2.0,-1,TR,Not Led,Sport,Not Assigned,80.0,Gotham City,California
2022-12-25,Dr. Evil,5.10a,No Notes,https://www.mountainproject.com/route/106446253/dr-evil,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Upper Gorge > Gotham City,3.5,-1,TR,Not Led,Sport,Not Assigned,130.0,Gotham City,California
2022-12-05,Can Can,5.10c,First 10c no falls! ,https://www.mountainproject.com/route/116622593/can-can,1,International > Europe > Spain > Catalonia > Margalef > Can Regino,2.5,-1,TR,Not Led,Sport,Not Assigned,80.0,Can Regino,International
2022-11-27,El Cargolet,5.10b,Send ,https://www.mountainproject.com/route/117990072/el-cargolet,1,International > Europe > Spain > Catalonia > Siurana > Valley Crags > El Cargol,2.8,-1,TR,Not Led,Sport,Not Assigned,45.0,El Cargol,International
2022-11-27,Purgandus Populus (P1),5.10a,1 take ,https://www.mountainproject.com/route/112566941/purgandus-populus-p1,1,International > Europe > Spain > Catalonia > Siurana > Valley Crags > El Cargol,2.2,-1,TR,Not Led,Sport,Not Assigned,60.0,El Cargol,International
2022-11-27,Maxi-kosi,5.7,No Notes,https://www.mountainproject.com/route/122491274/maxi-kosi,1,International > Europe > Spain > Catalonia > Margalef > Bloc del Porc,2.0,-1,TR,Not Led,Sport,Not Assigned,35.0,Bloc del Porc,International
2022-11-27,Wesdel,5.6,No Notes,https://www.mountainproject.com/route/122476523/wesdel,1,International > Europe > Spain > Catalonia > Margalef > Bloc del Porc,2.0,-1,TR,Not Led,Sport,Not Assigned,40.0,Bloc del Porc,International
2022-11-27,Lame Chucha Baby,5.11a,"Challenging start, got to the top, figured out moves ",https://www.mountainproject.com/route/114229931/lame-chucha-baby,1,International > Europe > Spain > Catalonia > Siurana > Valley Crags > El Pati,3.2,-1,TR,Not Led,Sport,Not Assigned,80.0,El Pati,International
2022-11-27,Marieta de L'ull Viu,5.10c,"Only fell at crux, really likes it. Go back!!",https://www.mountainproject.com/route/106625020/marieta-de-lull-viu,1,International > Europe > Spain > Catalonia > Siurana > Valley Crags > Espero Primavera,3.0,-1,TR,Not Led,Sport,Not Assigned,90.0,Espero Primavera,International
2022-11-25,De Que Vas?,5.10c,No falls but may have had top rope assistance ,https://www.mountainproject.com/route/122221774/de-que-vas,1,International > Europe > Spain > Catalonia > Arboli > El Falco,1.7,-1,TR,Not Led,Sport,Not Assigned,50.0,El Falco,International
2022-11-25,Espavilla Fidel,5.10d,"2-3 falls, figured out great beta",https://www.mountainproject.com/route/122221790/espavilla-fidel,1,International > Europe > Spain > Catalonia > Arboli > El Falco,2.0,-1,TR,Not Led,Sport,Not Assigned,50.0,El Falco,International
2022-11-24,Via del Pollito,5.8+,No Notes,https://www.mountainproject.com/route/121949048/via-del-pollito,1,International > Europe > Spain > Catalonia > Margalef > Bloc del Porc,1.0,-1,TR,Not Led,Sport,Not Assigned,35.0,Bloc del Porc,International
2022-11-24,Via del Pollo,5.8,No Notes,https://www.mountainproject.com/route/121949015/via-del-pollo,1,International > Europe > Spain > Catalonia > Margalef > Bloc del Porc,1.0,-1,Lead,Onsight,Sport,Not Assigned,35.0,Bloc del Porc,International
2022-11-24,Magrana,5.11a,"Got to the top!! 1st 11a
Few takes and falls but made the moves :) ",https://www.mountainproject.com/route/106631901/magrana,1,International > Europe > Spain > Catalonia > Margalef > Raco de la Finestra,3.7,4,TR,Not Led,Sport,Not Assigned,70.0,Raco de la Finestra,International
