Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Grade,Length,Route Crag,Route State
2023-04-01,Mush Maker,5.7+,No Notes,https://www.mountainproject.com/route/107128150/mush-maker,1,Washington > South-Central & Yakima > Tieton River > Royal Columns > Main Face,3.0,4,Lead,Flash,Trad,Not Assigned,80.0,Main Face,Washington
2023-04-01,Paul Maul,5.10c,No Notes,https://www.mountainproject.com/route/106442996/paul-maul,1,Washington > South-Central & Yakima > Tieton River > Royal Columns > Orange Sunshine area,3.4,4,Lead,Flash,Trad,Not Assigned,80.0,Orange Sunshine area,Washington
2023-04-01,Jam Exam,5.9,I passed! ,https://www.mountainproject.com/route/106022092/jam-exam,1,Washington > South-Central & Yakima > Tieton River > Royal Columns > Orange Sunshine area,3.4,4,Lead,Flash,Trad,Not Assigned,60.0,Orange Sunshine area,Washington
2023-02-12,Unimpeachable Groping,5.10b,20 draws and two finger sized cams. Crazy fun route. Linked a couple pitches. 4:30 base-to-base w/ Adam. Rapped All You Can Eat with an 80m (70m would also definitely work),https://www.mountainproject.com/route/105732431/unimpeachable-groping,8,Nevada > Southern Nevada > Red Rocks > 11-Juniper Canyon > Ginger Buttress,3.5,4,Lead,Onsight,Sport,Not Assigned,760.0,Ginger Buttress,Nevada
2023-02-11,Levitation 29,5.11b/c,I lead p1-3 & Adam took p4-6. I fell on the crux pitch - excited to come back and give it another go. 4:18 from start to finish. Incredible route ,https://www.mountainproject.com/route/105732443/levitation-29,6,Nevada > Southern Nevada > Red Rocks > 12-Oak Creek Canyon > Eagle Wall,3.8,4,Lead,Not Led,Trad,Not Assigned,700.0,Eagle Wall,Nevada
2022-12-31,Friend,5.10d,No Notes,https://www.mountainproject.com/route/106076229/friend,1,Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Right,2.8,3,Lead,Onsight,Sport,Not Assigned,40.0,Lower Level - Right,Nevada
2022-12-31,Nightmare on Crude Street,5.10d,No Notes,https://www.mountainproject.com/route/105732548/nightmare-on-crude-street,1,Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Right,3.0,3,Lead,Onsight,Sport,Not Assigned,60.0,Lower Level - Right,Nevada
2022-12-30,Lotta Balls,5.8,No Notes,https://www.mountainproject.com/route/105732242/lotta-balls,3,Nevada > Southern Nevada > Red Rocks > 14-First Creek Canyon > Lotta Balls Wall,3.2,4,Lead,Onsight,Trad,Not Assigned,420.0,Lotta Balls Wall,Nevada
2022-12-29,Crimson Chrysalis,5.8+,"Sweet climb & exposure. Bit chilly out today. If you are comfortable running it out at the grade you could easily get away with a single rack (.3-3), nuts, and 15-18 draws/alpines. ",https://www.mountainproject.com/route/105732281/crimson-chrysalis,9,Nevada > Southern Nevada > Red Rocks > 11-Juniper Canyon > Cloud Tower,3.6,-1,Lead,Onsight,Trad,Not Assigned,1000.0,Cloud Tower,Nevada
2022-12-26,Solar Slab,5.6,No Notes,https://www.mountainproject.com/route/105732257/solar-slab,9,Nevada > Southern Nevada > Red Rocks > 12-Oak Creek Canyon > Solar Slab - Upper Tier,3.5,-1,Lead,Onsight,Trad,Not Assigned,1220.0,Solar Slab - Upper Tier,Nevada
