Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Grade,Length,Route Crag,Route State
2023-03-24,Frog,5.12a,legooooo,https://www.mountainproject.com/route/120451342/frog,1,Nevada > Southern Nevada > Blue Diamond Area > Blue Diamond Cave,3.0,-1,Lead,Onsight,Sport,Not Assigned,60.0,Blue Diamond Cave,Nevada
2023-03-24,Shipwreck,5.10d,No Notes,https://www.mountainproject.com/route/120453768/shipwreck,1,Nevada > Southern Nevada > Blue Diamond Area > Blue Diamond Cave,2.3,-1,Not Specified,Not Led,Sport,Not Assigned,45.0,Blue Diamond Cave,Nevada
2023-03-24,The Enemy is Us,5.10b,No Notes,https://www.mountainproject.com/route/120453636/the-enemy-is-us,1,Nevada > Southern Nevada > Blue Diamond Area > Blue Diamond Cave,2.3,-1,Not Specified,Not Led,Sport,Not Assigned,40.0,Blue Diamond Cave,Nevada
2023-03-24,Thermonuclear Twitter Warfare,5.10a,No Notes,https://www.mountainproject.com/route/120453518/thermonuclear-twitter-warfare,1,Nevada > Southern Nevada > Blue Diamond Area > Blue Diamond Cave,2.2,-1,Lead,Onsight,Sport,Not Assigned,40.0,Blue Diamond Cave,Nevada
2023-03-23,Contagion,5.10a/b,No Notes,https://www.mountainproject.com/route/121833433/contagion,6,Nevada > Southern Nevada > La Madre Range > Lake Mead Buttress,3.5,-1,Lead,Onsight,Sport,Not Assigned,700.0,Lake Mead Buttress,Nevada
2023-02-28,Dappled Mare,5.8,with Petch and Jamie ,https://www.mountainproject.com/route/105722305/dappled-mare,5,California > Joshua Tree National Park > Lost Horse Area > Lost Horse Wall > Lost Horse Wall - Right Side,3.3,-1,Lead,Onsight,Trad,Not Assigned,300.0,Lost Horse Wall - Right Side,California
2023-02-07,Levitation 29,5.11b/c,"followed crux with Adam, led other 11a",https://www.mountainproject.com/route/105732443/levitation-29,7,Nevada > Southern Nevada > Red Rocks > 12-Oak Creek Canyon > Eagle Wall,3.8,-1,Lead,Onsight,Trad,Not Assigned,700.0,Eagle Wall,Nevada
2022-12-11,SW Corner,5.6,wet,https://www.mountainproject.com/route/105721747/sw-corner,1,California > Joshua Tree National Park > Central Joshua Tree > Sheep Pass Area > Ryan Campground > Headstone Rock,3.4,-1,Not Specified,Not Led,Sport,Not Assigned,50.0,Headstone Rock,California
2022-12-07,Makayla,5.10-,up and down,https://www.mountainproject.com/route/109897691/makayla,2,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,3.2,-1,TR,Not Led,Sport,Not Assigned,140.0,Banana Belt,California
2022-12-07,Environmental Terrorist,5.10c,No Notes,https://www.mountainproject.com/route/105896610/environmental-terrorist,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,2.7,-1,TR,Not Led,Sport,Not Assigned,80.0,Banana Belt,California
2022-12-07,Environmental Terrorist,5.10c,No Notes,https://www.mountainproject.com/route/105896610/environmental-terrorist,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,2.7,-1,Lead,Flash,Sport,Not Assigned,80.0,Banana Belt,California
2022-12-07,Love Over Gold,5.11b,fun,https://www.mountainproject.com/route/114120452/love-over-gold,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,3.1,-1,Lead,Onsight,Sport,Not Assigned,115.0,Banana Belt,California
2022-12-07,Pumping Groundwater,5.12a,"fell at crux, beta from jug:
right to side pull
left foot up
stand up on left
left hand up to crimp
*right foot to crimp around right
right to good hold
",https://www.mountainproject.com/route/105936323/pumping-groundwater,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Penstock Rock,3.4,-1,Lead,Fell/Hung,Sport,Not Assigned,90.0,Penstock Rock,California
2022-12-07,Wedge-O,5.10b,No Notes,https://www.mountainproject.com/route/105896614/wedge-o,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,2.9,-1,Lead,Redpoint,Sport,Not Assigned,90.0,Banana Belt,California
2022-12-07,"Humbly, Mumbly, Jumbly",5.10b,No Notes,https://www.mountainproject.com/route/105897283/humbly-mumbly-jumbly,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Warm Up Wall,2.6,-1,Lead,Flash,Sport,Not Assigned,80.0,Warm Up Wall,California
2022-12-07,Crowd Pleaser,5.9,up and down,https://www.mountainproject.com/route/105897024/crowd-pleaser,2,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Warm Up Wall,2.7,-1,Lead,Flash,Sport,Not Assigned,80.0,Warm Up Wall,California
2022-12-04,Paradise,5.9,No Notes,https://www.mountainproject.com/route/105897030/paradise,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,3.0,-1,Not Specified,Not Led,Sport,Not Assigned,115.0,Banana Belt,California
2022-12-04,Love Stinks,5.11a,No Notes,https://www.mountainproject.com/route/105896599/love-stinks,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,3.6,-1,Lead,Flash,Sport,Not Assigned,115.0,Banana Belt,California
2022-12-04,Makayla,5.10-,No Notes,https://www.mountainproject.com/route/109897691/makayla,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,3.2,-1,Lead,Onsight,Sport,Not Assigned,140.0,Banana Belt,California
2022-12-04,Wedge-O,5.10b,No Notes,https://www.mountainproject.com/route/105896614/wedge-o,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,2.9,-1,Lead,Onsight,Sport,Not Assigned,90.0,Banana Belt,California
2022-11-30,Peking Duck,5.10d,No Notes,https://www.mountainproject.com/route/105897531/peking-duck,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Great Wall of China,3.0,-1,Lead,Fell/Hung,Sport,Not Assigned,70.0,Great Wall of China,California
2022-11-30,Beijing,5.10d,No Notes,https://www.mountainproject.com/route/105912368/beijing,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Great Wall of China,2.4,-1,Lead,Onsight,Sport,Not Assigned,75.0,Great Wall of China,California
2022-11-30,Yellow Peril,5.10c,No Notes,https://www.mountainproject.com/route/105897524/yellow-peril,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Great Wall of China,3.4,-1,Lead,Onsight,Sport,Not Assigned,105.0,Great Wall of China,California
2022-11-30,Welcome to the Gorge,5.9,No Notes,https://www.mountainproject.com/route/105891392/welcome-to-the-gorge,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Warm Up Wall,2.6,-1,Lead,Flash,Sport,Not Assigned,137.0,Warm Up Wall,California
2022-11-30,Fear of a Black Planet,5.10a,No Notes,https://www.mountainproject.com/route/105916593/fear-of-a-black-planet,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > [Redacted],2.7,-1,Lead,Flash,Sport,Not Assigned,90.0,[Redacted],California
2022-11-28,Mescaline Daydream,5.8+,sandbag,https://www.mountainproject.com/route/105898061/mescaline-daydream,2,Georgia > Tallulah Gorge > Main Wall,3.6,-1,Lead,Onsight,Trad,Not Assigned,200.0,Main Wall,Georgia
2022-11-28,The Diagonal,5.10c/d,"sent P1, p2 hard and spooky, aided it on shit gear",https://www.mountainproject.com/route/106298267/the-diagonal,2,Georgia > Tallulah Gorge > Main Wall,3.0,-1,Lead,Fell/Hung,Trad,Not Assigned,250.0,Main Wall,Georgia
2022-11-28,Punk Wave,5.10,sent P1 fell following p2,https://www.mountainproject.com/route/105920651/punk-wave,2,Georgia > Tallulah Gorge > Main Wall,3.9,-1,Lead,Fell/Hung,Trad,Not Assigned,137.0,Main Wall,Georgia
2022-10-27,The Nose,5.9 C2,so epic,https://www.mountainproject.com/route/105924807/the-nose,28,California > Yosemite National Park > Yosemite Valley > Valley North Side > B. El Capitan > 2. Southwest Face,3.9,-1,Lead,Not Led,"Trad, Aid",Not Assigned,3000.0,2. Southwest Face,California
2022-10-23,Serenity Crack,5.10d PG13,No Notes,https://www.mountainproject.com/route/105862912/serenity-crack,3,California > Yosemite National Park > Yosemite Valley > Valley North Side > H. Royal Arches Area > Royal Arches > Western Royal Arches,3.9,-1,Lead,Onsight,Trad,Not Assigned,350.0,Western Royal Arches,California
2022-10-20,Gripper,5.10b,sick ,https://www.mountainproject.com/route/106026157/gripper,3,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Ad. Arch Rock,3.7,-1,Lead,Onsight,Trad,Not Assigned,270.0,Ad. Arch Rock,California
2022-10-20,Commitment,5.9,No Notes,https://www.mountainproject.com/route/105867013/commitment,3,California > Yosemite National Park > Yosemite Valley > Valley North Side > E. Yosemite Falls Area > Five Open Books > First Tier,3.4,-1,Lead,Redpoint,Trad,Not Assigned,320.0,First Tier,California
2022-10-19,Flying In The Mountains,5.11a,No Notes,https://www.mountainproject.com/route/106713951/flying-in-the-mountains,6,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Aa. Parkline Slab,3.6,-1,Lead,Onsight,Trad,Not Assigned,800.0,Aa. Parkline Slab,California
2022-10-16,Royal Arches (5.10- or 5.7 A0),5.10a/b A0,A0 was fun,https://www.mountainproject.com/route/105862881/royal-arches-510-or-57-a0,14,California > Yosemite National Park > Yosemite Valley > Valley North Side > H. Royal Arches Area > Royal Arches > Central Royal Arches,3.4,-1,Lead,Onsight,"Trad, Aid",Not Assigned,2000.0,Central Royal Arches,California
2022-10-15,Knuckleheads,5.10,"was scary, took too long, had a bad time. really cool movement though
",https://www.mountainproject.com/route/106346180/knuckleheads,1,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Am. Pat and Jack Pinnacle,3.0,-1,Lead,Onsight,Sport,Not Assigned,90.0,Am. Pat and Jack Pinnacle,California
2022-10-15,Boneheads,5.10b,No Notes,https://www.mountainproject.com/route/105990385/boneheads,1,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Am. Pat and Jack Pinnacle,2.9,-1,Lead,Flash,Sport,Not Assigned,80.0,Am. Pat and Jack Pinnacle,California
2022-10-15,Kiddie Corner,5.10a,No Notes,https://www.mountainproject.com/route/113004657/kiddie-corner,1,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Am. Pat and Jack Pinnacle,2.7,-1,TR,Not Led,Trad,Not Assigned,110.0,Am. Pat and Jack Pinnacle,California
2022-10-15,Makayla's Climb,5.8+,No Notes,https://www.mountainproject.com/route/105990405/makaylas-climb,1,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Am. Pat and Jack Pinnacle,2.2,-1,TR,Not Led,Trad,Not Assigned,40.0,Am. Pat and Jack Pinnacle,California
2022-10-15,More Mental than Mantel,5.10-,No Notes,https://www.mountainproject.com/route/117921253/more-mental-than-mantel,2,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Am. Pat and Jack Pinnacle,2.9,-1,Lead,Onsight,Trad,Not Assigned,130.0,Am. Pat and Jack Pinnacle,California
2022-10-14,South Face,5.8 C1,"awesome first big wall with Adam, Bella and Ciaran did p4-5 of southern man, fell when a brassie ripped on P6",https://www.mountainproject.com/route/105847471/south-face,10,California > Yosemite National Park > Yosemite Valley > Valley North Side > I. Washington Column,3.5,-1,Lead,Fell/Hung,"Trad, Aid",Not Assigned,1200.0,I. Washington Column,California
2022-09-30,Vomit Launch,5.11b,"fell a lot, no endurance",https://www.mountainproject.com/route/105789348/vomit-launch,1,Oregon > Central Oregon > Smith Rock > (f) Cocaine Gully,3.8,-1,TR,Not Led,Sport,Not Assigned,137.0,(f) Cocaine Gully,Oregon
2022-09-30,Vomit Launch,5.11b,"flash attempt, fell x2",https://www.mountainproject.com/route/105789348/vomit-launch,1,Oregon > Central Oregon > Smith Rock > (f) Cocaine Gully,3.8,-1,Lead,Fell/Hung,Sport,Not Assigned,137.0,(f) Cocaine Gully,Oregon
2022-09-30,Zion,5.10a/b,No Notes,https://www.mountainproject.com/route/105790290/zion,4,Oregon > Central Oregon > Smith Rock > (g) Morning Glory Wall,3.7,-1,Lead,Flash,Trad,Not Assigned,350.0,(g) Morning Glory Wall,Oregon
2022-09-29,Orgasmophoria,5.10b,No Notes,https://www.mountainproject.com/route/105812149/orgasmophoria,1,Oregon > Central Oregon > Smith Rock > (u) Red Wall,3.3,-1,Lead,Onsight,Sport,Not Assigned,120.0,(u) Red Wall,Oregon
2022-09-29,Phantasmagoria,5.10c,No Notes,https://www.mountainproject.com/route/106807953/phantasmagoria,1,Oregon > Central Oregon > Smith Rock > (u) Red Wall,3.3,-1,Lead,Onsight,Sport,Not Assigned,100.0,(u) Red Wall,Oregon
2022-09-29,Straight Outta' Peking,5.10c,No Notes,https://www.mountainproject.com/route/106194388/straight-outta-peking,1,Oregon > Central Oregon > Smith Rock > (u) Red Wall,2.9,-1,Lead,Fell/Hung,Sport,Not Assigned,137.0,(u) Red Wall,Oregon
2022-09-29,Lets Face It,5.10b,No Notes,https://www.mountainproject.com/route/105821090/lets-face-it,1,Oregon > Central Oregon > Smith Rock > (u) Red Wall,3.1,-1,Lead,Onsight,Sport,Not Assigned,137.0,(u) Red Wall,Oregon
2022-09-21,Stepping Stones,5.10c,No Notes,https://www.mountainproject.com/route/106463637/stepping-stones,1,Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 32 / Little Si > British Aisles/Repo Rocks Group > (a) Blackstone,2.6,-1,Lead,Redpoint,Sport,Not Assigned,80.0,(a) Blackstone,Washington
2022-09-21,BLM-1,5.10+,ledge fall potential at top ,https://www.mountainproject.com/route/110715326/blm-1,1,Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 32 / Little Si > British Aisles/Repo Rocks Group > (a) Blackstone,2.6,-1,Lead,Onsight,Sport,Not Assigned,90.0,(a) Blackstone,Washington
2022-09-21,Lay of the Land,5.12a,date not right here?,https://www.mountainproject.com/route/105827408/lay-of-the-land,1,Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 32 / Little Si > The Woods Group > (a) Midland,3.7,-1,Lead,Fell/Hung,Sport,Not Assigned,80.0,(a) Midland,Washington
2022-09-20,Goddess,5.10c,No Notes,https://www.mountainproject.com/route/105793729/goddess,1,Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 32 / Little Si > British Aisles/Repo Rocks Group > (d) AWOL,3.5,-1,Lead,Flash,Sport,Not Assigned,50.0,(d) AWOL,Washington
2022-07-27,One Scoop with Delicious Dimples,5.10c,with banjo and a broken finger,https://www.mountainproject.com/route/108645264/one-scoop-with-delicious-dimples,5,International > North America > Canada > British Columbia > Squamish > Stawamus Chief > The Apron,3.2,-1,Lead,Onsight,"Trad, Sport",Not Assigned,600.0,The Apron,International
2022-07-26,Genesis,5.10a PG13,No Notes,https://www.mountainproject.com/route/106999949/genesis,1,International > North America > Canada > British Columbia > Squamish > Murrin Park > Genesis,2.6,-1,TR,Not Led,Trad,Not Assigned,80.0,Genesis,International
2022-07-26,Kain and Able,5.8,No Notes,https://www.mountainproject.com/route/106999966/kain-and-able,1,International > North America > Canada > British Columbia > Squamish > Murrin Park > Genesis,2.2,-1,TR,Not Led,Trad,Not Assigned,70.0,Genesis,International
2022-07-09,Liberty Ridge,AI2-3 Steep Snow,No Notes,https://www.mountainproject.com/route/106459197/liberty-ridge,6,Washington > South-West & Tacoma > Southwest Cascades > Mount Rainier,3.8,-1,Solo,Not Led,"Ice, Snow, Alpine",Not Assigned,5700.0,Mount Rainier,Washington
2022-07-02,(The Great) Unknown,5.9,No Notes,https://www.mountainproject.com/route/117395133/the-great-unknown,1,Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Upper Wall's Lower Tier and Trail > The Pit Stop,2.6,-1,Lead,Flash,Trad,Not Assigned,50.0,The Pit Stop,Washington
2022-07-02,Tomek's Spare Right Tire,5.11c,"redpoint try, fell at mantle, close. Sequency after the ramp",https://www.mountainproject.com/route/122697725/tomeks-spare-right-tire,1,Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Upper Wall's Lower Tier and Trail > The Pit Stop,3.0,-1,Lead,Fell/Hung,Sport,Not Assigned,50.0,The Pit Stop,Washington
