Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Grade,Length,Route Crag,Route State
2023-04-07,The Fang,V4,No Notes,https://www.mountainproject.com/route/106731640/the-fang,1,California > Sierra Eastside > Bishop Area > Volcanic Tablelands (Happy/Sad Boulders) > Sad Boulders > Sad Parrot Area > The Bird Cage Boulder,3.5,-1,Send,Not Led,Boulder,Not Assigned,15.0,The Bird Cage Boulder,California
2023-02-19,Choppo's Chimney (aka Chappo's Chimney),WI4+,Single 60m rope rappel from the tree to the base(10ft downclimb) 70 would be better ,https://www.mountainproject.com/route/105747633/choppos-chimney-aka-chappos-chimney,1,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Camp Bird Road,3.2,-1,Lead,Not Led,"Trad, Ice",Not Assigned,190.0,Camp Bird Road,Colorado
2023-02-13,M-possible (aka Paradox),M6,No Notes,https://www.mountainproject.com/route/111490540/m-possible-aka-paradox,1,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Uncompahgre Gorge aka Ouray Ice Park > Stump Wall,4.0,-1,TR,Not Led,"Trad, TR, Mixed",Not Assigned,45.0,Stump Wall,Colorado
2023-02-13,M-possible (aka Paradox),M6,No Notes,https://www.mountainproject.com/route/111490540/m-possible-aka-paradox,1,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Uncompahgre Gorge aka Ouray Ice Park > Stump Wall,4.0,-1,Lead,Redpoint,"Trad, TR, Mixed",Not Assigned,45.0,Stump Wall,Colorado
2023-02-07,Chock Up Another One,WI3-4,No Notes,https://www.mountainproject.com/route/105747468/chock-up-another-one,1,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Camp Bird Road,2.3,-1,Lead,Onsight,"Trad, Ice",Not Assigned,200.0,Camp Bird Road,Colorado
2023-02-07,Skillet's Revenge,WI4,No Notes,https://www.mountainproject.com/route/106112958/skillets-revenge,1,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Camp Bird Road,2.9,-1,Lead,Onsight,Ice,Not Assigned,50.0,Camp Bird Road,Colorado
2023-02-07,Lola's Leap,M6-,No Notes,https://www.mountainproject.com/route/112527913/lolas-leap,1,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Camp Bird Road,2.6,-1,Lead,Onsight,"Sport, Mixed",Not Assigned,40.0,Camp Bird Road,Colorado
2023-02-05,Bird Brain Boulevard,WI5 M5,Mostly dry outside of good ice at the start of p6,https://www.mountainproject.com/route/105747894/bird-brain-boulevard,7,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Camp Bird Road,3.9,-1,Lead,Onsight,"Trad, Mixed, Ice",Not Assigned,220.0,Camp Bird Road,Colorado
2023-02-02,Bear Creek Falls,WI4-5,Right side- easier ,https://www.mountainproject.com/route/105747391/bear-creek-falls,1,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > US Highway 550,3.0,4,Lead,Not Led,"Trad, Ice",Not Assigned,160.0,US Highway 550,Colorado
2023-01-20,Gravity's Rainbow,WI5 M3,2 70m pitches. Bottom half was thin but enough top half was steep and hard ice ,https://www.mountainproject.com/route/105747781/gravitys-rainbow,2,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > US Highway 550,3.6,4,Lead,Onsight,"Trad, Mixed, Ice",Not Assigned,500.0,US Highway 550,Colorado
2023-01-17,Bear Creek Falls,WI4-5,No Notes,https://www.mountainproject.com/route/105747391/bear-creek-falls,1,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > US Highway 550,3.0,4,Lead,Onsight,"Trad, Ice",Not Assigned,160.0,US Highway 550,Colorado
2023-01-09,Slip Sliding Away,WI4-,No Notes,https://www.mountainproject.com/route/105747434/slip-sliding-away,2,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Camp Bird Road,2.5,-1,Lead,Not Led,"Trad, Ice",Not Assigned,200.0,Camp Bird Road,Colorado
2023-01-08,Tic Tac,5.11c WI4+ M6-7,No Notes,https://www.mountainproject.com/route/105747654/tic-tac,1,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Uncompahgre Gorge aka Ouray Ice Park > Lower Bridge to Scottish Gullies,3.3,-1,TR,Not Led,"Trad, Mixed, Ice",Not Assigned,100.0,Lower Bridge to Scottish Gullies,Colorado
2023-01-03,Skylight,WI4+ M4-5,"2nd pitch wet Swiss cheese, stopped at cave ",https://www.mountainproject.com/route/105747482/skylight,2,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Camp Bird Road,3.8,-1,Lead,Not Led,"Trad, Mixed, Ice",Not Assigned,220.0,Camp Bird Road,Colorado
2023-01-03,Choppo's Chimney (aka Chappo's Chimney),WI4+,In but thin ,https://www.mountainproject.com/route/105747633/choppos-chimney-aka-chappos-chimney,1,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Camp Bird Road,3.2,-1,Lead,Not Led,"Trad, Ice",Not Assigned,190.0,Camp Bird Road,Colorado
2023-01-03,Slip Sliding Away,WI4-,No Notes,https://www.mountainproject.com/route/105747434/slip-sliding-away,2,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Camp Bird Road,2.5,-1,Lead,Not Led,"Trad, Ice",Not Assigned,200.0,Camp Bird Road,Colorado
2023-01-03,Chockstone Chimney,WI3-4 R,No Notes,https://www.mountainproject.com/route/105747440/chockstone-chimney,2,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > Camp Bird Road,2.3,-1,Lead,Not Led,"Trad, Ice",Not Assigned,220.0,Camp Bird Road,Colorado
2022-12-31,Kennedy's Gully,WI4,Got up the first 4 ,https://www.mountainproject.com/route/107012232/kennedys-gully,4,Colorado > CO Ice & Mixed > Ouray (Ice/Mixed) > US Highway 550,3.9,-1,Lead,Not Led,"Trad, Ice",Not Assigned,1000.0,US Highway 550,Colorado
2022-12-28,East Face/Royal Arch,Easy 5th,No Notes,https://www.mountainproject.com/route/105755713/east-faceroyal-arch,2,Colorado > Boulder > Flatirons > North > Royal Arch,2.7,-1,Not Specified,Not Led,Trad,Not Assigned,220.0,Royal Arch,Colorado
2022-12-28,West Ridge,5.6 R,No Notes,https://www.mountainproject.com/route/105756688/west-ridge,1,Colorado > Boulder > Flatirons > North > Royal Arch,1.9,-1,Not Specified,Not Led,Trad,Not Assigned,80.0,Royal Arch,Colorado
2022-12-25,Alpine Cragger's Delight,5.10+,No Notes,https://www.mountainproject.com/route/123036168/alpine-craggers-delight,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Stuart-Enchantments > Prusik Peak",4.0,4,Follow,Not Led,"Trad, Alpine",5.10+,80.0,Prusik Peak,Washington
2022-12-25,The Matrix,WI4- M4,No Notes,https://www.mountainproject.com/route/107398304/the-matrix,1,Montana > Southwest Region > Hyalite Canyon > Mummy Area,3.2,-1,Lead,Onsight,"Mixed, Ice",Not Assigned,130.0,Mummy Area,Montana
2022-12-24,Twin Falls Left + Right,WI3,No Notes,https://www.mountainproject.com/route/107091640/twin-falls-left-right,1,Montana > Southwest Region > Hyalite Canyon > Twin Falls Area,3.1,-1,Follow,Not Led,Ice,Not Assigned,200.0,Twin Falls Area,Montana
2022-12-24,Cleopatra's Needle,WI5,"P1, p2 was raining hard ",https://www.mountainproject.com/route/107091441/cleopatras-needle,3,Montana > Southwest Region > Hyalite Canyon > Twin Falls Area,3.9,-1,Not Specified,Not Led,Ice,Not Assigned,250.0,Twin Falls Area,Montana
2022-12-21,Thin Chance,WI4-,No Notes,https://www.mountainproject.com/route/107398274/thin-chance,1,Montana > Southwest Region > Hyalite Canyon > Mummy Area,2.6,2,Lead,Onsight,Ice,WI4-,80.0,Mummy Area,Montana
