Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Grade,Length,Route Crag,Route State
2022-11-26,Salted Wounds,5.11a/b,Shoulda sent that,https://www.mountainproject.com/route/108374089/salted-wounds,1,Nevada > Southern Nevada > Red Rocks > 01-Calico Basin > Strategic Arms Wall,2.7,-1,Lead,Fell/Hung,Sport,Not Assigned,105.0,Strategic Arms Wall,Nevada
2022-11-26,SALT,5.10c,"Still sandy, but better than the last one",https://www.mountainproject.com/route/108374053/salt,1,Nevada > Southern Nevada > Red Rocks > 01-Calico Basin > Strategic Arms Wall,2.5,-1,Lead,Onsight,Sport,Not Assigned,95.0,Strategic Arms Wall,Nevada
2022-11-26,Leaving the Nest,5.11a,Sandy and suspect rock. ,https://www.mountainproject.com/route/111835283/leaving-the-nest,1,Nevada > Southern Nevada > Red Rocks > 01-Calico Basin > The Owl's Den,2.5,-1,TR,Not Led,Sport,Not Assigned,110.0,The Owl's Den,Nevada
2022-11-25,Smooth Operator,5.9,Climbed with Brad. Good alternative to the busy classics. Fun climbing on the upper pitches but a bit sandy lower down. ,https://www.mountainproject.com/route/106189708/smooth-operator,6,Nevada > Southern Nevada > Red Rocks > 11-Juniper Canyon > Jackrabbit Buttress,2.7,-1,Lead,Onsight,Trad,Not Assigned,700.0,Jackrabbit Buttress,Nevada
2022-11-24,Sand Felipe,5.10-,So fun! Good recovery after bailing on P2 of Triassic. ,https://www.mountainproject.com/route/105732785/sand-felipe,2,Nevada > Southern Nevada > Red Rocks > 16-Black Velvet Canyon > Whiskey Peak > North Face,2.6,3,Lead,Onsight,Sport,Not Assigned,110.0,North Face,Nevada
2022-11-24,Triassic Sands,5.10,"A long cold belay of Brad on P2, who didn’t plan his gear well and had to bump a #3 for ~50ft. That took the stoke out of him and we rapped after P2. ",https://www.mountainproject.com/route/105732392/triassic-sands,2,Nevada > Southern Nevada > Red Rocks > 16-Black Velvet Canyon > Whiskey Peak > North Face,3.8,-1,Lead,Fell/Hung,Trad,Not Assigned,700.0,North Face,Nevada
2022-11-23,Sonic Youth,5.11d,3 more attempts on what is quickly becoming my nemesis route. Bolt to bolt warmup and then two two-hangs. Just didn’t quite have the endurance and holds felt worse than they have in the past. My beta is very dialed at this point though.,https://www.mountainproject.com/route/105884624/sonic-youth,3,Nevada > Southern Nevada > Red Rocks > 05-Sandstone Quarry > Wake Up Wall Area > Sonic Youth Cliff > Lower Tier,3.8,-1,Lead,Fell/Hung,Sport,Not Assigned,60.0,Lower Tier,Nevada
2022-11-22,Under the Boardwalk,5.11a,High quality unsend. Did this stone cold after work. Took at the top and looked at it but then remembered my old beta and did it smoothly. Feeling strong!,https://www.mountainproject.com/route/105813238/under-the-boardwalk,1,Nevada > Southern Nevada > Red Rocks > 05-Sandstone Quarry > Parking Lot Area > The Pier,3.4,-1,Lead,Fell/Hung,Sport,Not Assigned,50.0,The Pier,Nevada
2022-11-20,Levitation 29,5.11b/c,"What a sick day. 10.5hrs C2C! First ones on route after approaching in 1hr56 via the “5th class” slab which was cruiser jugs.

Miller linked 1-2, I led 3 and 4 separately, Miller led 5, I led 6, Miller led 7.

I followed cleanly on P1-2, sent P3 and P4. One hung P5 11c which I was stoked about. Definitely had a few hangs on P6. And followed P7 clean.",https://www.mountainproject.com/route/105732443/levitation-29,7,Nevada > Southern Nevada > Red Rocks > 12-Oak Creek Canyon > Eagle Wall,3.8,-1,Lead,Fell/Hung,Trad,Not Assigned,700.0,Eagle Wall,Nevada
2022-10-25,The Main Line,5.10b,"TR solo after work with Lars. A very cool experience. We’ve been spoiled on Valley climbing and thought the climbing was just ok. Gorgeous sunset right as we topped out.
1hr45 up, 30min to rap. ",https://www.mountainproject.com/route/117341933/the-main-line,10,California > Sierra Eastside > Bishop Area > Pine Creek Canyon > Tai tower,3.4,-1,TR,Not Led,Trad,Not Assigned,1200.0,Tai tower,California
2022-10-23,Serenity Crack,5.10d PG13,"At one point I counted 20 people on route. We decided to rap after Serenity because of time. 
I followed P1 clean but had to take before the traverse on P2 because there wasn’t a good rest, and then took a couple more times. Also took once halfway through the crux on P3. Lessons learned: come back stronger on a weekday!",https://www.mountainproject.com/route/105862912/serenity-crack,3,California > Yosemite National Park > Yosemite Valley > Valley North Side > H. Royal Arches Area > Royal Arches > Western Royal Arches,3.9,-1,Lead,Fell/Hung,Trad,Not Assigned,350.0,Western Royal Arches,California
2022-10-22,The Grack - Center,5.6,"Some chicanery involved trying to link 2-3, but we made it work. Climbed with Natalie Chu. ",https://www.mountainproject.com/route/105862623/the-grack-center,3,California > Yosemite National Park > Yosemite Valley > Valley South Side > I. Glacier Point Apron > 3. The Grack Area,3.4,-1,Lead,Flash,Trad,Not Assigned,500.0,3. The Grack Area,California
2022-10-16,Royal Arches (5.10- or 5.7 A0),5.10a/b A0,"6.5hrs C2C with Hans. Underwhelmed by the route, very adventurous, but fun to romp and get “high with friends in the alpine” lol. Super efficient on our rappels using pre-rigging",https://www.mountainproject.com/route/105862881/royal-arches-510-or-57-a0,15,California > Yosemite National Park > Yosemite Valley > Valley North Side > H. Royal Arches Area > Royal Arches > Central Royal Arches,3.4,-1,Lead,Not Led,"Trad, Aid",Not Assigned,2000.0,Central Royal Arches,California
2022-10-15,Boneheads,5.10b,No Notes,https://www.mountainproject.com/route/105990385/boneheads,1,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Am. Pat and Jack Pinnacle,2.9,-1,TR,Not Led,Sport,Not Assigned,80.0,Am. Pat and Jack Pinnacle,California
2022-10-15,Kiddie Corner,5.10a,No Notes,https://www.mountainproject.com/route/113004657/kiddie-corner,1,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Am. Pat and Jack Pinnacle,2.7,-1,Lead,Flash,Trad,Not Assigned,110.0,Am. Pat and Jack Pinnacle,California
2022-10-15,Makayla's Climb,5.8+,No Notes,https://www.mountainproject.com/route/105990405/makaylas-climb,1,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Am. Pat and Jack Pinnacle,2.2,-1,Lead,Not Led,Trad,Not Assigned,40.0,Am. Pat and Jack Pinnacle,California
2022-10-09,Manana,5.10d,1.5 hangs. Felt pretty good about it. ,https://www.mountainproject.com/route/106615858/manana,1,California > Yosemite National Park > Yosemite Valley > Valley South Side > N. Sentinel Creek Area,3.8,-1,TR,Not Led,Trad,Not Assigned,120.0,N. Sentinel Creek Area,California
2022-10-09,Hari-Kiri,5.10a,"Stoked to send this, first Valley 10. ",https://www.mountainproject.com/route/106616004/hari-kiri,1,California > Yosemite National Park > Yosemite Valley > Valley South Side > N. Sentinel Creek Area,3.1,-1,Lead,Flash,Trad,Not Assigned,120.0,N. Sentinel Creek Area,California
